employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-95822412,Danielle,Johnson,Male,Pennsylvania,Allentown,2016-04-10,Sales,Sales Consultant,Bachelor,106044,Good,No,1981-11-27,2024-03-10
00-46913810,Jeffrey,Doyle,Male,Florida,Miami,2017-09-04,Sales,Sales Representative,Bachelor,65844,Satisfactory,No,1983-07-07,2019-06-02
00-28728463,Patricia,Miller,Male,New York,Rochester,2022-06-03,Marketing,Content Creator,High School,61316,Good,No,1973-11-03,2023-09-29
00-83197857,Anthony,Robinson,Male,New York,New York City,2016-07-03,Customer Service,Help Desk Technician,Bachelor,90515,Satisfactory,No,1989-10-08,2023-10-25
00-66629388,Anthony,Gonzalez,Male,New York,New York City,2015-08-25,IT,System Administrator,Master,65570,Good,No,1977-06-17,2021-05-09
00-22575562,Amy,Robinson,Female,New York,Rochester,2017-08-03,Sales,Sales Consultant,Bachelor,76133,Good,No,1989-01-31,2021-04-02
00-77827638,Lisa,Smith,Male,New York,New York City,2021-10-21,Sales,Sales Specialist,Bachelor,61657,Good,No,1991-03-18,2022-04-19
00-85329037,Helen,Peterson,Male,New York,New York City,2017-02-26,Customer Service,Support Specialist,Bachelor,61864,Good,No,1985-03-27,2020-05-30
00-97226012,Susan,Rogers,Female,New York,New York City,2022-02-03,Operations,Operations Analyst,Master,82644,Good,No,1977-08-15,2022-08-02
00-66306997,Colin,Abbott,Male,New York,New York City,2017-08-08,Customer Service,Support Specialist,High School,55918,Satisfactory,No,1998-09-19,2022-07-12
00-89089901,Lindsay,Blair,Male,New York,Rochester,2017-07-15,IT,Software Developer,Master,87374,Satisfactory,No,2004-05-04,2022-12-16
00-10872248,Teresa,Gray,Male,New York,Rochester,2022-07-20,Operations,Inventory Specialist,High School,63807,Excellent,No,1983-07-03,2023-01-16
00-31429110,Maria,Montgomery,Female,Michigan,Detroit,2022-11-10,Sales,Sales Representative,Bachelor,64216,Satisfactory,No,1983-06-18,2023-05-09
00-55667651,Barbara,Bush,Male,North Carolina,Charlotte,2017-01-17,Operations,Logistics Coordinator,Bachelor,67323,Good,Yes,1983-01-15,2020-11-10
00-38898923,Jeremy,Roberts,Male,New York,Buffalo,2024-01-30,HR,HR Coordinator,Master,61373,Satisfactory,No,1987-11-08,2024-07-28
00-55176955,Jesse,Garcia,Female,Michigan,Warren,2016-04-11,Customer Service,Help Desk Technician,Bachelor,80030,Satisfactory,Yes,1998-01-01,2017-08-09
00-60992979,Cynthia,Diaz,Female,New York,Buffalo,2016-05-15,Customer Service,Customer Service Representative,High School,61228,Good,Yes,1974-07-24,2019-09-12
00-56164955,Jason,Adams,Male,New York,Buffalo,2021-12-07,Operations,Inventory Specialist,High School,54750,Good,Yes,1990-02-18,2022-06-05
00-15831819,Deborah,Lynch,Female,New York,Buffalo,2022-03-04,Customer Service,Support Specialist,Bachelor,59208,Good,No,1976-07-20,2022-08-31
00-81971316,Jessica,Martin,Male,New York,Buffalo,2016-05-18,Customer Service,Support Specialist,Bachelor,67319,Good,No,1993-12-11,2021-06-17
00-60806024,Veronica,Bowman,Female,New York,New York City,2016-07-22,Sales,Sales Representative,Bachelor,64645,Good,No,1998-05-17,2018-08-12
00-49349722,Gabrielle,Cameron,Male,New York,Rochester,2023-10-10,Operations,Operations Analyst,Bachelor,85523,Good,No,1978-11-04,2024-04-07
00-93016315,Jeremy,Johnson,Male,New York,Buffalo,2023-04-25,Operations,Operations Analyst,Bachelor,85791,Excellent,No,1996-03-04,2023-10-22
